NIC Code,Original Text,Modified Text
17092,"Manufacture of paper cups, saucers, plates, hoops, cones and other similar","Cretion of papr cups, saucers, plates, hoops, cones with othr similar"
17093,"Manufacture of printing, writing and photocopying paper ready for use","Manufcture of printing, writing an photocopying sheet material ready for use"
17094,Manufacture of paper pulp articles other than containers (such as egg trays),Prodction of sheet material pulp articles othr than containers (such as egg trays)
17095,"Manufacture of file cover/file boards, and similar articles.","Manufcture of file cover/file flat sheets, an similar articles."
17096,Manufacture of wall paper,Cretion of wall papr
17097,Manufacture of carbon paper & stationary items,Cretion of carbon papr & stationary items
17099,Manufacture of other paper products n.e.c.,Prodction of extra sheet material items n.e.c.
18111,Printing of newspapers,Printing of newsdocumnts
18112,"Printing of magazines and other periodicals, books and brochures, maps,","Printing of magazines with extra periodicals, books with brochures, maps,"
23955,Manufacture of hume pipes and other pre-fabricated structural components,Prodction of hume pipes an addtional pre-fabricated structural components
23956,"Manufacture of insulation boards of vegetable fibre, straw or wood waste,","Prodction of insulation bords of vegetable fibre, straw or wood waste,"
26204,"Manufacture of printers, scanners, including bar code scanners, smart card","Prodction of printers, scanners, including bar code scanners, smart card"
26205,"Manufacture of computer terminals, like automatic teller machines (ATM’s),","Manufcture of computer terminals, like automatic teller machines (ATM’s),"
26209,Manufacture of computers and peripheral equipment n.e.c.,Manufcture of computers with peripheral tools n.e.c.
26301,"Manufacture of radio and television studio and broadcasting equipment,","Cretion of radio an television studio an broadcasting equipmnt,"
26302,"Manufacture of telephone and facsimile equipment, including telephone","Prodction of telephone an facsimile equipmnt, including telephone"
26303,"Manufacture of data communications equipment, such as bridges, routers,","Prodction of data data exchngs equipmnt, such as bridges, routers,"
26304,"Manufacture of cable television equipment, transmitting and receiving","Cretion of cable television devices, transmitting an receiving"
26305,"Manufacture of pagers, cellular phones and other mobile communication","Manufcture of pagers, cellular phones with othr mobile data exchng"
23959,Manufacture of other cement and asbestos cement products n.e.c.,Cretion of addtional cement & asbestos cement goods n.e.c.
23960,"Cutting, shaping and finishing of stone","Cutting, shaping with finishing of stone"
23991,Manufacture of worked mica and mica products,Cretion of worked mica & mica prodcts
23992,Manufacture of gypsum boards,Manufcture of gypsum panls
23993,"Manufacture of millstones, sharpening or polishing stones and natural or","Manufcture of millstones, sharpening or polishing stones & natural or"
23994,Manufacture of graphite products other than electrical articles,Cretion of graphite prodcts addtional than power-basedal articles
23999,Manufacture of other non-metallic mineral products n.e.c. (includes asbestos,Manufcture of addtional non-metallic mineral goods n.e.c. (includes asbestos
28263,"Manufacture of machinery for washing, bleaching, dyeing, dressing,","Cretion of machines for washing, bleaching, dyeing, dressing,"
28264,"Manufacture of ironing machines, commercial washing and drying machines,","Manufcture of ironing machines, commercial washing an drying machines,"
28265,"Manufacture of sewing machines, sewing machine heads and sewing","Prodction of sewing machines, sewing machine heads with sewing"
28266,"Manufacture of machinery for preparing, tanning or working hides, skins","Manufcture of machnry for preparing, tanning or working hides, skins"
28269,"Manufacture of other machinery for textiles, apparel and leather production","Manufcture of othr machnry for textiles, apparel with leather production"
28291,"Manufacture of machinery for making paper pulp, paper, paperboard and","Cretion of machnry for making papr pulp, papr, paprboard an"
32403,"Manufacture of pin-tables, coin-operated games, billiards, special tables for","Manufcture of pin-tables, coin-operated games, billiards, special tables for"
32404,Manufacture of playing cards,Manufcture of playing cards
32405,Manufacture of electronic games,Cretion of electronic games
32409,Manufacture of other games and toys n.e.c.,Prodction of extra games an toys n.e.c.
32501,Manufacture of dental fillings and cements (except denture adhesive or,Manufcture of dental fillings an cements (except denture adhesive or
32502,Manufacture of laboratory apparatus (laboratory ultrasonic cleaning,Cretion of laboratory apparatus (laboratory ultrasonic cleaning
32503,"Manufacture of medical, surgical, dental or veterinary furniture such as","Cretion of medical, surgical, dental or veterinary furniture such as"
32504,"Manufacture of bone plates and screws, syringes, needles, catheters,","Manufcture of bone plates with screws, syringes, needles, catheters,"
33131,"Repair and maintenance of measuring, testing, navigating and control","Maintence & maintenance of measuring, testing, navigating & control"
33132,"Repair and maintenance of irradiation, electromedical and electro theraputic","Maintence an maintenance of irradiation, electromedical an electro theraputic"
43213,Installation of street lighting and electrical signals,Fitting of street lighting with elecrtical signals
43214,Installation of fire alarm system and burgler alarm system,Instaltion of fire alarm system an burgler alarm system
43219,Other electrical electrical installation n.e.c.,Other power-basedal power-basedal installation n.e.c.
43221,"Installation of plumbing for water, gas and sanitation equipments","Instaltion of plumbing for water, gas & sanitation toolss"
43222,"Installation of heating systems (electric, gas and oil), furnaces, cooling","Instaltion of heating systems (power-based, gas an oil), furnaces, cooling"
43229,"Other plumbing, heat and air conditioning activities n.e.c.","Other plumbing, heat an air conditioning activities n.e.c."
43291,"Installation of elevators, escalators","Fitting of elevators, escalators"
33133,Repair and maintenance of optical instruments and equipment of class,Repaire an maintenance of optical instruments an equipmnt of class
33140,Repair of electrical equipment,Fixing of power-basedal tools
33150,"Repair of transport equipment, except motor vehicles","Repaire of transport devices, except motor vehicles"
33190,Repair of other equipment,Maintence of othr equipmnt
33200,Installation of industrial machinery and equipment,Instaltion of industrial machnry & devices
35101,Electric power generation by hydroelectric power plants,Electric power generation by hydropower-based power plants
35102,Electric power generation by coal based thermal power plants,Electric power generation by coal based thermal power plants
35103,"Electric power generation by non-coal based thermal (e.g. diesel, gas )","Electric power generation by non-coal based thermal (e.g. diesel, gas )"
35104,Electric power generation and transmission by nuclear power plants,Electric power generation an transmission by nuclear power plants
46101,"Activities of commission agents, brokers dealing in wholesale trade of","Activities of commission agents, brokers dealing in wholesale trade of"
46102,"Activities of commission agents dealing in wholesale trade inwood, paper,","Activities of commission agents dealing in wholesale trade inwood, sheet material,"
46103,Activities of commission agents dealing in wholesale trade in machinery &,Activities of commission agents dealing in wholesale trade in machines &
46109,Activities of other commission agents n.e.c. (including commission agents,Activities of addtional commission agents n.e.c. (including commission agents
46201,Wholesale of cereals & pulses,Wholsale of cereals & pulses
46202,"Wholesale of un-manufactured tobacco, paan (betel leaf), opium, ganja,","Bulk trade of un-manufactured tobacco, paan (betel leaf), opium, ganja,"
46203,Wholesale of live animals and poultry,Distribtion of live animals with poultry
46204,"Wholesale of straw, fodder & other animal/poultry feed","Distribtion of straw, fodder & othr animal/poultry feed"
46205,Wholesale of flowers and plants,Bulk trade of flowers an plants
46206,"Wholesale of hides, skins and leather","Distribtion of hides, skins with leather"
